,exp,run,snapshot,pixel_similarity,structural_similarity,mean_squared_error,class
0,baseline_exp_0,a,0,1.0,1.0,0.0,okay
1,baseline_exp_0,a,1,1.0,1.0,0.0,okay
2,baseline_exp_0,a,2,1.0,1.0,0.0,okay
3,baseline_exp_0,a,3,1.0,1.0,0.0,okay
4,baseline_exp_0,a,4,1.0,1.0,0.0,okay
5,baseline_exp_0,a,5,1.0,1.0,0.0,okay
6,baseline_exp_0,a,6,1.0,1.0,0.0,okay
7,baseline_exp_0,a,7,1.0,1.0,0.0,okay
8,baseline_exp_0,a,8,1.0,1.0,0.0,okay
9,baseline_exp_0,a,9,1.0,1.0,0.0,okay
10,baseline_exp_0,b,0,1.0,1.0,0.0,okay
11,baseline_exp_0,b,1,0.9927086046006944,0.9942182065976366,60.9272216796875,okay
12,baseline_exp_0,b,2,0.9846565755208332,0.9894531503582416,108.10154486762151,okay
13,baseline_exp_0,b,3,0.9732267252604166,0.974204534388746,288.59189453125,okay
14,baseline_exp_0,b,4,0.9599565972222224,0.9647042288984856,333.56270209418403,okay
15,baseline_exp_0,b,5,0.9642938910590276,0.9676457421655276,336.8877739800347,okay
16,baseline_exp_0,b,6,0.9079578993055556,0.9376290552686256,546.6634773763021,okay
17,baseline_exp_0,b,7,0.9173499891493055,0.943096343360032,490.6896698676216,okay
18,baseline_exp_0,b,8,0.9171918402777778,0.942996997642338,442.946764594184,okay
19,baseline_exp_0,b,9,0.8437657335069444,0.9576220723981268,166.032392578125,okay
20,baseline_exp_0,c,0,1.0,1.0,0.0,okay
21,baseline_exp_0,c,1,0.9800735134548612,0.9929240795144388,25.991652018229168,okay
22,baseline_exp_0,c,2,0.9598103841145832,0.9787954486933448,167.19949978298612,okay
23,baseline_exp_0,c,3,0.9525786675347222,0.9736008131192548,226.06657118055557,okay
24,baseline_exp_0,c,4,0.9588514539930556,0.9778826702499132,92.4304408094618,okay
25,baseline_exp_0,c,5,0.9473285590277778,0.9633696903795432,295.4429220920139,okay
26,baseline_exp_0,c,6,0.9247073025173612,0.9520666643290466,361.636048719618,okay
27,baseline_exp_0,c,7,0.9196978081597222,0.946919608666418,377.13028917100695,okay
28,baseline_exp_0,c,8,0.9322379557291668,0.9535575364181382,255.16211886935764,okay
29,baseline_exp_0,c,9,0.8159963650173611,0.9393829602646564,368.8984383138021,okay
30,baseline_exp_0,d,0,1.0,1.0,0.0,okay
31,baseline_exp_0,d,1,0.97947265625,0.9931034240458908,37.96419460720486,okay
32,baseline_exp_0,d,2,0.9698841688368056,0.985075376964756,149.7590904405382,okay
33,baseline_exp_0,d,3,0.9587274848090278,0.977368668098312,211.52357666015624,okay
34,baseline_exp_0,d,4,0.9439195421006944,0.9611376362636208,345.2914789496528,okay
35,baseline_exp_0,d,5,0.9446421983506944,0.9619072795415536,413.7399609375,okay
36,baseline_exp_0,d,6,0.9248149956597222,0.9474089514729812,557.7593001302083,okay
37,baseline_exp_0,d,7,0.9382633463541666,0.9537557015863872,452.8788330078125,okay
38,baseline_exp_0,d,8,0.9033599175347222,0.9360689269466528,486.45166666666665,okay
39,baseline_exp_0,d,9,0.8517466905381944,0.9465052959252872,292.38764322916666,okay
40,baseline_exp_0,e,0,1.0,1.0,0.0,okay
41,baseline_exp_0,e,1,0.9956266276041666,0.996699376397366,35.403598904079864,okay
42,baseline_exp_0,e,2,0.987275390625,0.99027063289187,114.41274929470488,okay
43,baseline_exp_0,e,3,0.9760929361979168,0.9821641842617292,229.0064425998264,okay
44,baseline_exp_0,e,4,0.9877170138888888,0.9888084336007216,91.55482611762152,okay
45,baseline_exp_0,e,5,0.9602362738715278,0.9659544697038124,334.0348684353299,okay
46,baseline_exp_0,e,6,0.9305897352430555,0.950219676964652,520.9221899414063,okay
47,baseline_exp_0,e,7,0.9527973090277778,0.9566433465345464,515.1536428493923,okay
